Index,Label
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,1
278,0
279,0
280,0
